year,China,United States,India,Other Asia,EU27+UK,Former USSR,Non-EU Europe,Latin America,Africa and Middle East,Other
2000,199760.15,334802.18,63213.7,86333.50000000004,190400.0,75807.1,14906.0,10117.0,42803.8,16633.69999999991
2001,213083.15,335845.88,64218.7,88957.50000000004,189507.0,76022.1,14906.0,10117.0,44417.8,17245.700000000084
2002,223776.15,336246.58,65258.7,97484.50000000004,189081.0,76062.1,14906.0,10117.0,44417.8,18290.700000000026
2003,246167.15,334824.5,66843.7,101022.50000000004,187003.0,76294.1,16626.0,10117.0,44417.8,21251.699999999968
2004,275634.15,334839.5,67326.2,105610.75000000001,186491.0,76504.1,16626.0,10117.0,44417.8,21252.699999999968
2005,322280.15,334989.9,70651.2,106911.25000000001,185601.0,76924.1,17121.0,10117.0,44452.8,19061.700000000084
2006,403950.15,335292.7,72939.2,112102.24999999996,184250.0,77224.1,18136.0,10117.0,44452.8,19062.69999999991
2007,475765.15,333992.4,77893.2,116785.24999999996,183363.5,77344.1,18213.5,10117.0,44542.8,19880.200000000084
2008,529342.25,334729.5,83089.2,119091.84999999993,182611.5,77344.1,18213.5,10117.0,44542.8,19881.199999999968
2009,580130.35,335774.8,88549.7,124575.84999999993,183248.5,77764.1,18586.5,10345.0,44542.8,20348.19999999991
2010,634407.35,339201.2,99551.7,127168.94999999991,183234.5,77827.1,19851.5,11901.0,44602.8,17540.19999999991
2011,692214.35,340154.2,114529.7,134212.9499999999,180820.5,77925.5,20451.5,12877.0,44752.8,18995.200000000405
2012,740383.35,333744.01,132069.2,139069.95,175814.5,78308.5,20451.5,14172.0,44752.8,20157.20000000023
2013,788832.35,328756.01,149989.7,144803.95,168257.9,77853.5,20639.5,15575.0,45052.8,20999.200000000114
2014,819012.25,324248.91,170296.2,151094.9499999999,163111.0,79272.5,22236.160000000003,15740.0,46052.8,21314.200000000084
2015,878780.5,302576.36,190641.2,160926.77999999997,161258.0,80235.5,23376.160000000003,16284.8,46877.6,21181.200000000128
2016,922240.5,286615.96,208111.2,172203.27999999997,152484.4,80579.5,25526.160000000003,17294.3,47177.6,25739.20000000007
2017,954686.5,277745.16,213619.2,185838.58000000002,147228.4,80534.5,26846.160000000003,16848.3,49117.2,24140.19999999994
2018,977453.5,261853.76,219140.2,193113.58000000002,142798.4,80206.5,27176.160000000003,17462.3,51303.2,26309.199999999997
2019,1018582.5,245670.96,226780.2,206876.58000000002,135824.9,78831.5,27726.160000000003,18231.3,52892.8,28878.200000000055
2020,1045610.5,234007.46,226990.2,213505.58000000002,125574.6,77772.5,27726.160000000003,18359.3,54292.8,31823.200000000055
2021,1070216.5,225556.36,232205.2,221513.58000000002,111728.0,76710.5,27511.160000000003,18239.3,56612.6,28737.79999999999
